ID,Marque,Nom
91570003,BP,BP RN118 CHAT BLANC BRIEVRES
73320002,Avia,STATION SERVICE AVIA
87400005,,
17530001,Système U,Super U Coop Atlantique Arvert
45770003,,
25110003,Indépendant sans enseigne,F3C Sas
33540001,Système U,STATION U
38510006,,
10600002,Carrefour,CARREFOUR Sainte-Savine
59630002,Carrefour Market,Carrefour Market
57170001,Supermarché Match,SUPERMARCHES MATCH CHATEAU SALINS
40550001,Carrefour Market,Carrefour Market
56520005,Total,RELAIS GUIDEL SUD
66420001,Système U,STATION U
23300010,,
78550004,Avia,SARL JCS
91290005,Netto,NETTO
33400009,Esso Express,ESSO EXPRESS TALENCE CHANTELOISEAU
13003004,Total Access,RELAIS PLOMBIERES
1000002,Carrefour Market,Carrefour Market
54540002,,
94880001,Intermarché,INTERMARCHE NOISEAU
94200009,,
19000006,,
69600004,Avia,AVIA XPRESS
73600009,,
57000011,Intermarché,INTERMARCHE METZ-MAGNY
44150001,Avia,BRETECHE OUEST
77500008,BP,BP CHELLES MONT CHALAS
9000007,,
38330002,Esso Express,ESSO BIVIERS
78500001,Carrefour,CARREFOUR SARTROUVILLE
40660003,,
41260005,Esso Express,ESSO EXPRESS LA CHAUSSEE SAINT VICTOR
89100013,Auchan,AUCHAN SENS
22200006,Total Access,RELAIS PLOUMAGOAR
16250001,Carrefour Contact,CARREFOUR CONTACT SARL ZETIMARCEL
21700004,Intermarché,INTERMARCHE NUITS ST GEORGES
67390001,Système U,SUPER  U  Marckolsheim
38510005,,
49260001,Système U,Super U MONTREUIL BELLAY
78770001,G20,G20 THOIRY
6800029,,
89520003,Avia,MR MME BLANCHARD DOMINIQUE
47200012,Intermarché,SAS NOZEDIS
36150005,,
71450002,Avia,LE RELAIS DE SAVIGNY
40360003,,
56320002,Carrefour Market,CARREFOUR MARKET LE FAOUET
30000021,,
56330001,Système U,Super U PLUVIGNER
91630001,Carrefour Market,Carrefour Market
48100004,Simply Market,SIMPLY MARKET
91190001,Carrefour Market,Carrefour Market
78660003,Shopi,BRUMANUMACLE
60200014,,
29280003,Intermarché,INTERMARCHE PLOUZANE
31250001,Total,ALQUIER
89350001,Maximarché,MAXIMARCHE CHAMPIGNELLES
76730001,Carrefour Contact,THECAS SARL
21170001,Intermarché,INTERMARCHE SAINT USAGE
66700007,,
29520001,Leclerc,CHATEAUNEUF-DISTRIBUTION
77124002,Auchan,AUCHAN MEAUX
40150002,,
31700010,Total Access,RELAIS BLAGNAC ROCADE
44360009,,
60220006,,
93380010,Total Access,RELAIS PIERREFITTE MERMOZ
35111001,Système U,Utile LA FRESNAIS
76800009,Total Access,RELAIS CANADIENS
64000011,Intermarché,INTERMARCHE PAU
29820002,Leclerc,E.LECLERC Avenue 1 ère DFL
54450004,,
67290002,Carrefour Contact,CARREFOUR CONTACT WINGEN/MODER
80300005,Intermarché,INTERMARCHE ALBERT
78480004,Total,RELAIS FONTAINE ST MARTIN
45210006,,
56920001,Intermarché,INTERMARCHE NOYAL PONTIVY
38510004,,
15500006,Indépendant sans enseigne,ORCEYRE CARBURANTS
78630008,Total,RELAIS DE MORAINVILLIERS SUD
71100003,Carrefour,CARREFOUR CHALON NORD
22640003,Intermarché Contact,INTERMARCHE CONTACT
5200001,Système U,SUPER U
92340002,Total,RELAIS DU PANORAMA
38090005,,
31820001,Carrefour Market,Carrefour Market
84150001,Intermarché,INTERMARCHE JONQUIERES
91670001,Leclerc,ANDIS
30360001,Intermarché,INTERMARCHE CONTACT
24200008,,
12300004,Intermarché,INTERMARCHE FLAGNAC
12450001,Carrefour Market,STATION LA PRIMAUBE
47300003,Leclerc,VILLENEUVE DISTRIBUTION
56930001,Intermarché,INTERMARCHE PLUMELIAU
71640002,Avia,GARAGE DUREUIL PATRICE
77400005,Total,TOTAL Metin lagny
49120001,Système U,Super U CHEMILLE
13320014,,
